path	status	extension	size_bytes	top_level_dir	initial_category	risk_flag	recommended_bucket	notes
ARTICLE_REQUEST_TEMPLATE.md	added	md	1288	ARTICLE_REQUEST_TEMPLATE.md	doc	none	content-lab	root markdown
ARTICLE_TYPE_ROUTER.md	added	md	10014	ARTICLE_TYPE_ROUTER.md	doc	none	content-lab	root markdown
CONTENT_INDEX.md	added	md	2957	CONTENT_INDEX.md	doc	none	content-lab	root markdown
COPY_PASTE_RENDER_TOOL_EVAL.md	added	md	6097	COPY_PASTE_RENDER_TOOL_EVAL.md	doc	none	content-lab	root markdown
COVER_SINGLE_IMAGE_V2_PLAN.md	added	md	1995	COVER_SINGLE_IMAGE_V2_PLAN.md	doc	none	content-lab	root markdown
DRACO_ORIGINAL_STYLE_RECOVERY.md	added	md	3138	DRACO_ORIGINAL_STYLE_RECOVERY.md	doc	none	content-lab	root markdown
DRACO_STYLE_DEFAULT_V3.md	added	md	2954	DRACO_STYLE_DEFAULT_V3.md	doc	none	content-lab	root markdown
FEISHU_REVIEW_LINK_V2_PLAN.md	added	md	2444	FEISHU_REVIEW_LINK_V2_PLAN.md	doc	none	content-lab	root markdown
GITHUB_READER_MIRROR_V1.md	added	md	1255	GITHUB_READER_MIRROR_V1.md	doc	none	content-lab	root markdown
HANDOFF_CONTRACT.md	added	md	5639	HANDOFF_CONTRACT.md	doc	none	content-lab	root markdown
MAIJIAN_WECHAT_THEME_V1.md	added	md	8668	MAIJIAN_WECHAT_THEME_V1.md	doc	none	content-lab	root markdown
MAIJIAN_WECHAT_THEME_V2_PROPOSAL.md	added	md	9327	MAIJIAN_WECHAT_THEME_V2_PROPOSAL.md	doc	none	content-lab	root markdown
MANUAL_PUBLISH_V3_PLAN.md	added	md	3179	MANUAL_PUBLISH_V3_PLAN.md	doc	none	content-lab	root markdown
PRODUCTION_CONSTITUTION.md	added	md	9233	PRODUCTION_CONSTITUTION.md	doc	none	content-lab	root markdown
PUBLISHING_CALENDAR.md	added	md	1819	PUBLISHING_CALENDAR.md	doc	none	content-lab	root markdown
PUBLISH_CONFIRMATION_CARD.md	added	md	3252	PUBLISH_CONFIRMATION_CARD.md	doc	none	content-lab	root markdown
PUBLISH_MAP_V2_DESIGN.md	added	md	23138	PUBLISH_MAP_V2_DESIGN.md	doc	none	content-lab	root markdown
