source_path	source_bucket	asset_type	score	routing_decision	target_repo	target_path_proposed	requires_redaction	requires_human_review	prohibited_to_ingest	notes
ARTICLE_REQUEST_TEMPLATE.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/doc/	no	no	no	root markdown
ARTICLE_TYPE_ROUTER.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/doc/	no	no	no	root markdown
CONTENT_INDEX.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/doc/	no	no	no	root markdown
COPY_PASTE_RENDER_TOOL_EVAL.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/doc/	no	no	no	root markdown
COVER_SINGLE_IMAGE_V2_PLAN.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/doc/	no	no	no	root markdown
DRACO_ORIGINAL_STYLE_RECOVERY.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/doc/	no	no	no	root markdown
DRACO_STYLE_DEFAULT_V3.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/doc/	no	no	no	root markdown
FEISHU_REVIEW_LINK_V2_PLAN.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/doc/	no	no	no	root markdown
GITHUB_READER_MIRROR_V1.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/doc/	no	no	no	root markdown
HANDOFF_CONTRACT.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/doc/	no	no	no	root markdown
MAIJIAN_WECHAT_THEME_V1.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/doc/	no	no	no	root markdown
MAIJIAN_WECHAT_THEME_V2_PROPOSAL.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/doc/	no	no	no	root markdown
MANUAL_PUBLISH_V3_PLAN.md	content-lab	article	20-25	enter-content-lab	maijian-wechat-content-lab	maijian-wechat-content-lab/doc/	no	no	no	root markdown
